Movie1,Movie2,Support,Confidence,Lift
12 Angry Men,inception,0.002009107956067506,0.35714285714285715,3.622864906832298
The Lion King,Billa,0.002276989016876507,0.3469387755102041,3.6227201370058513
The Lord of the Rings: The Fellowship of the Ring,The Shawshank Redemption,0.0025448700776855076,0.31666666666666665,3.620571720265441
Cinema Paradiso,inception,0.0021430484864720066,0.35555555555555557,3.606763285024155
"The Good, the Bad and the Ugly",Whiplash,0.002678810608090008,0.47619047619047616,3.598419124734914
"The Good, the Bad and the Ugly",Whiplash,0.002678810608090008,0.47619047619047616,3.5947806827483264
The Intouchables,Comedy nights with Kapil,0.003616394320921511,0.2368421052631579,3.586740685384862
inception,The Intouchables,0.002678810608090008,0.4651162790697674,3.5836513307893534
Pulp Fiction,The Intouchables,0.002678810608090008,0.4651162790697674,3.5836513307893534
The Intouchables,Comedy nights with Kapil,0.003616394320921511,0.2368421052631579,3.579480076709994
inception,The Lord of the Rings: The Fellowship of the Ring,0.002009107956067506,0.625,3.5756704980842913
Toy Story,Back to the Future,0.002678810608090008,0.27777777777777773,3.575670498084291
Casablanca,The Shawshank Redemption,0.002009107956067506,0.3125,3.572932618683001
The Dark Knight,Casablanca,0.002009107956067506,0.2884615384615385,3.553884234577304
The Usual Suspects,The Lord of the Rings: The Fellowship of the Ring,0.0024109295472810074,0.6206896551724138,3.551010701545779
Back to the Future,The Lord of the Rings: The Fellowship of the Ring,0.003616394320921511,0.21259842519685038,3.5509168736458276
The Usual Suspects,The Shawshank Redemption,0.0024109295472810074,0.3103448275862069,3.5482917040713944
The Lord of the Rings: The Fellowship of the Ring,The Lord of the rings,0.002009107956067506,0.2542372881355932,3.5479169966735307
The Lord of the Rings: The Fellowship of the Ring,The Lord of the rings,0.002009107956067506,0.2542372881355932,3.5412977485454085
inception,The Lord of the Rings: The Fellowship of the Ring,0.0024109295472810074,0.21176470588235297,3.536991709435452
Comedy nights with Kapil,Billa,0.0028127511384945084,0.3387096774193548,3.536792240018046
The Lord of the Rings: The Fellowship of the Ring,Comedy nights with Kapil,0.0028127511384945084,0.23333333333333334,3.5336037863421232
The Lord of the Rings: The Fellowship of the Ring,The Intouchables,0.0029466916688990086,0.4583333333333333,3.5313897488820087
The Dark Knight,The Lord of the rings,0.0028127511384945084,0.25301204819277107,3.5308186015088387
The Lord of the rings,Billa,0.0032145727297080095,0.33802816901408445,3.5296759578449715
The Dark Knight,inception,0.0021430484864720066,0.3478260869565218,3.52835538752363
The Lord of the Rings: The Fellowship of the Ring,Comedy nights with Kapil,0.0028127511384945084,0.23333333333333334,3.5264507422402165
inception,The Lord of the Rings: The Fellowship of the Ring,0.0030806321993035093,0.2110091743119266,3.5243724729593824
The Dark Knight,The Lord of the rings,0.0028127511384945084,0.25301204819277107,3.5242312533716955
inception,Billa,0.003750334851326011,0.3373493975903614,3.522588255118375
Comedy nights with Kapil,Prision Break,0.003616394320921511,0.2109375,3.507481904231626
The Lord of the Rings: The Fellowship of the Ring,The Intouchables,0.004018215912135012,0.4545454545454546,3.5022047096350506
The Godfather: Part II,The Intouchables,0.002009107956067506,0.4545454545454546,3.5022047096350506
Comedy nights with Kapil,The Intouchables,0.002678810608090008,0.45454545454545453,3.50220470963505
Prision Break,The Intouchables,0.002678810608090008,0.45454545454545453,3.50220470963505
Comedy nights with Kapil,The Lord of the Rings: The Fellowship of the Ring,0.004420037503348513,0.611111111111111,3.496211153682418
Seven Samurai,The Pianist,0.002276989016876507,0.3333333333333333,3.495318352059925
The Lord of the rings,The Lion King,0.004018215912135012,0.24,3.492865497076023
The Lord of the rings,inception,0.0029466916688990086,0.34374999999999994,3.4870074728260865
The Silence of the Lambs,The Intouchables,0.0025448700776855076,0.4523809523809524,3.485527544351074
The Pianist,The Godfather: Part II,0.002276989016876507,0.21794871794871792,3.4843792895184755
The Lord of the Rings: The Fellowship of the Ring,The Lion King,0.00669702652022502,0.23923444976076555,3.4817239803389386
inception,Billa,0.0030806321993035093,0.3333333333333333,3.4806526806526805
The Lord of the rings,Billa,0.0032145727297080095,0.3333333333333333,3.4806526806526805
12 Angry Men,The Lord of the Rings: The Fellowship of the Ring,0.002009107956067506,0.20833333333333331,3.479679343773303
The Silence of the Lambs,inception,0.00334851326011251,0.34246575342465757,3.4739800476474096
Back to the Future,The Intouchables,0.003616394320921511,0.45,3.4671826625387
The Departed,The Lion King,0.002009107956067506,0.23809523809523808,3.4651443423373243
The Lord of the Rings: The Return of the King,Back to the Future,0.0024109295472810074,0.2686567164179105,3.4642332379553022
The Dark Knight,Prision Break,0.002009107956067506,0.20833333333333331,3.464179658500371
The Lion King,The Lord of the rings,0.004018215912135012,0.24793388429752067,3.4599521124584847
The Lord of the Rings: The Return of the King,Back to the Future,0.0024109295472810074,0.2686567164179105,3.4582604220277933
The Lion King,The Lord of the rings,0.004018215912135012,0.24793388429752067,3.453496977920316
The Lord of the Rings: The Return of the King,The Shawshank Redemption,0.0021430484864720066,0.30188679245283023,3.4515877372937678
Toy Story,Back to the Future,0.0025448700776855076,0.2676056338028169,3.4447304516755706
